Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",0201,3,2u2,
"C10, C9",0201,2,0.1uf,
"C11, C18, C19",0201,3,10 uf,
C12,0201,1,0.1 uf,
"C13, C14",0201,2,100 nf,
"C15, C16, C7, C8",0201,4,C,
"C1X1, C2X1, C3X1, C4X1, C5(1UF)1, C6(100NF)1",0805,6,C,
"C4, C6",0201,2,100n,
C5,0201,1,22u,
"D1, D3",0201,2,LED,
D2,0201,1,D,
"D4, D5, D6, D7",0201,4,D_Schottky,
F1,0201,1,Polyfuse,
J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0_16P,
J2,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,Conn_01x02_Pin,
"M1, M2, M3, M4",PinHeader_1x02_P2.54mm_Vertical,4,Motor_DC,
Q1,SOT-23,1,AO3401A,
"Q2, Q3, Q4, Q5",SOT-23,4,AO3400A,
"R1, R2",0201,2,33 R,
"R1(10K)1, R2(100R)1",0805,2,R,
"R10, R12, R14, R8",0201,4,100R,
"R11, R13, R15, R9",0201,4,10K R,
"R3, R4",0201,2,50K,
R5,0603,1,100R,
"R6, R7",0201,2,1K,
"SW1, SW2",SW_SPST_PTS810,2,SW_Push,
U1,SOT-23-6,1,MT3608,
U2,TSOT-23-6,1,AP63203WU,
U3,InvenSense_QFN-24_4x4mm_P0.5mm,1,MPU-6050,
U4,Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering,1,BMP280,
U5,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
