Designator,Mid X,Mid Y,Rotation,Layer
C1,155.805,-104.14,0.0,top
C10,151.84,-88.99,0.0,top
C11,148.99,-95.67,0.0,top
C12,148.975,-96.56,0.0,top
C13,159.6825,-94.0675,90.0,top
C14,159.6725,-92.5425,270.0,top
C15,115.35,-116.25,180.0,top
C16,182.14,-70.335,0.0,top
C18,160.47,-108.39,180.0,top
C19,166.08,-108.96,90.0,top
C1X1,149.72,-98.91,270.0,top
C2,155.785,-105.0,0.0,top
C2X1,147.55,-98.9,270.0,top
C3,155.785,-105.86,0.0,top
C3X1,161.2225,-91.4775,270.0,top
C4,163.795,-102.79,180.0,top
C4X1,161.2525,-95.0575,90.0,top
C5,163.815,-103.785,0.0,top
C5(1UF)1,129.09,-64.82,90.0,top
C6,163.805,-104.655,0.0,top
C6(100NF)1,132.11,-64.84,90.0,top
C7,182.995,-111.73,0.0,top
C8,116.9075,-73.2175,180.0,top
C9,150.96,-96.17,270.0,top
D1,163.8,-100.97,180.0,top
D2,157.185,-115.14,180.0,top
D3,154.685,-83.7,180.0,top
D4,116.9075,-70.9575,180.0,top
D5,115.235,-114.44,180.0,top
D6,183.055,-113.99,0.0,top
D7,182.15,-72.015,0.0,top
F1,154.11,-107.26,0.0,top
J1,150.2,-120.095,0.0,top
J2,161.44,-117.16,90.0,top
M1,91.35353538789307,-43.82646461210691,315.0,top
M2,91.51197461210693,-141.05197461210693,45.0,top
M3,208.52197461210693,-141.12802538789308,135.0,top
M4,208.77353538789308,-43.77353538789309,225.0,top
Q1,155.1,-109.7275,90.0,top
Q2,180.1125,-113.2,180.0,top
Q3,120.04,-70.9975,0.0,top
Q4,118.5475,-114.42,0.0,top
Q5,179.2375,-71.565,180.0,top
R1,149.44,-113.5975,90.0,top
R1(10K)1,137.3325,-67.99,180.0,top
R10,122.9625,-72.0075,180.0,top
R11,122.6075,-70.8675,270.0,top
R12,122.405,-115.07,180.0,top
R13,122.075,-113.795,270.0,top
R14,175.59,-70.615,0.0,top
R15,175.94,-71.83,90.0,top
R2,150.99,-113.5775,90.0,top
R2(100R)1,161.49,-81.5875,270.0,top
R3,148.47,-113.5975,90.0,top
R4,152.01,-113.5875,90.0,top
R5,154.16,-105.275,90.0,top
R6,163.775,-101.91,180.0,top
R7,152.8625,-83.68,0.0,top
R8,176.78,-112.57,0.0,top
R9,177.205,-113.775,90.0,top
SW1,136.24,-64.97,180.0,top
SW2,159.005,-85.465,0.0,top
U1,163.4825,-108.4,0.0,top
U2,160.6075,-103.73,180.0,top
U3,150.04,-92.41,0.0,top
U4,157.5775,-93.1775,270.0,top
U5,150.14,-69.25,0.0,top
